subject_id,project_id,workflow_ids,subject_set_ids,metadata,locations,classifications_by_workflow,retired_in_workflow
2919249,2864,[],[4880],"{""id"":""1"",""date"":""6/20/95"",""img_name"":""img1.jpg"",""latitude"":""148.273"",""longitude"":""-40.290 N'""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/04397213-b996-4b14-bbdc-f393aee78814.jpeg""}",null,[]
2934266,2864,[],[4880],"{""Filename"":""53e2f6ca4954734d8bb22200.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/23f70d98-90b2-4272-842f-069a982d71ae.jpeg""}",null,[]
